,country,founded,id,industry,linkedin_url,locality,name,region,size,website
39386,australia,,powerforce-total-merchandising-pty-ltd-,retail,linkedin.com/company/powerforce-total-merchandising-pty-ltd-,box hill,powerforce total merchandising pty ltd - aus,victoria,201-500,powerforce.com.au
39523,australia,1991.0,wmrr,environmental services,linkedin.com/company/wmrr,glebe,waste management association of australia,new south wales,1001-5000,wmrr.asn.au
39960,new zealand,2014.0,til-freight,transportation/trucking/railroad,linkedin.com/company/til-freight,auckland,til freight,auckland,501-1000,til.kiwi
40208,new zealand,,zuru,consumer goods,linkedin.com/company/zuru,,zuru toy company,,501-1000,zuru.com
41356,australia,2001.0,decjuba,retail,linkedin.com/company/decjuba,,decjuba,,1001-5000,decjuba.com.au
41889,australia,,harcourts-real-estate---brisbane-city,real estate,linkedin.com/company/harcourts-real-estate---brisbane-city,,harcourts real estate - brisbane city,,1001-5000,closed.com.au
43051,australia,1998.0,transend-networks,utilities,linkedin.com/company/transend-networks,,transend networks,,201-500,transend.com.au
43801,australia,2008.0,wmeaustralia,marketing and advertising,linkedin.com/company/wmeaustralia,melbourne,wme australia,victoria,201-500,wmegroup.com.au
44364,australia,2001.0,ally-fashion,retail,linkedin.com/company/ally-fashion,,ally fashion,,501-1000,allyfashion.com
49244,australia,1858.0,richardson-&-wrench-national-hq,real estate,linkedin.com/company/richardson-&-wrench-national-hq,,richardson & wrench,,501-1000,randw.com.au
51241,australia,1875.0,heritage-bank_4,banking,linkedin.com/company/heritage-bank_4,,heritage bank,,501-1000,heritage.com.au
51568,australia,1874.0,university-of-sydney-union,education management,linkedin.com/company/university-of-sydney-union,,university of sydney union (usu),,201-500,usu.edu.au
52074,australia,1999.0,vicsuper,financial services,linkedin.com/company/vicsuper,,vicsuper,,201-500,vicsuper.com.au
53280,australia,,medupventurecapital,venture capital & private equity,linkedin.com/company/medupventurecapital,kew,medup,victoria,201-500,medup.com.au
53506,australia,2001.0,koko-black,food & beverages,linkedin.com/company/koko-black,,koko black chocolate,,201-500,kokoblack.com
