,country,founded,id,industry,linkedin_url,locality,name,region,size,website
204346,united states,1985.0,nicoud-insurance-services,insurance,linkedin.com/company/nicoud-insurance-services,rolling meadows,nicoud insurance services,illinois,10001+,nicoudinsurance.com
204834,united states,,pacific-gas-and-electric-company,utilities,linkedin.com/company/pacific-gas-and-electric-company,san francisco,pacific gas and electric company,california,10001+,pge.com
205435,united states,1968.0,cintas,facilities services,linkedin.com/company/cintas,cincinnati,cintas,ohio,10001+,cintas.com
207427,united states,,rescare-workforce-services,staffing and recruiting,linkedin.com/company/rescare-workforce-services,louisville,rescare workforce services,kentucky,10001+,equusworks.com
208411,united states,1913.0,officemax,retail,linkedin.com/company/officemax,,officemax,,10001+,officemax.com
209019,united states,1960.0,saint-francis-health-system,hospital & health care,linkedin.com/company/saint-francis-health-system,tulsa,saint francis health system,oklahoma,10001+,saintfrancis.com
209566,united states,1847.0,chicago-tribune-media-group,newspapers,linkedin.com/company/chicago-tribune-media-group,chicago,chicago tribune media group,illinois,10001+,chicagotribune.com
210133,united states,1848.0,phideltatheta-alphachapter,non-profit organization management,linkedin.com/company/phideltatheta-alphachapter,oxford,phi delta theta - alpha chapter,ohio,10001+,phideltatheta.com
210632,united states,1999.0,enterprise-commercial-trucks,transportation/trucking/railroad,linkedin.com/company/enterprise-commercial-trucks,st. louis,enterprise truck rental,missouri,10001+,enterprisetrucks.com
211215,united states,2018.0,collins-aerospace,aviation & aerospace,linkedin.com/company/collins-aerospace,charlotte,collins aerospace,north carolina,10001+,collinsaerospace.com
214216,united states,,teacher,education management,linkedin.com/company/teacher,,teacher,illinois,10001+,mrdartclass.com
1663,united states,1944.0,parsons,civil engineering,linkedin.com/company/parsons,centreville,parsons corporation,virginia,10001+,parsons.com
1823,united states,1893.0,visiting-nurse-service-of-new-york,hospital & health care,linkedin.com/company/visiting-nurse-service-of-new-york,,visiting nurse service of new york,new york,10001+,vnsny.org
2591,united states,,quality-specialists,"health, wellness and fitness",linkedin.com/company/quality-specialists,bonney lake,quality specialists,washington,10001+,qualityspecialists.com
2744,united states,1927.0,7-eleven,retail,linkedin.com/company/7-eleven,irving,7-eleven,texas,10001+,7-eleven.com
2967,united states,2011.0,iwritercontent,internet,linkedin.com/company/iwritercontent,st. petersburg,iwriter,florida,10001+,iwriter.com
3861,united states,1972.0,emcare,hospital & health care,linkedin.com/company/emcare,dallas,emcare,texas,10001+,emcare.com
5261,united states,,bsf-realty-corporation,real estate,linkedin.com/company/bsf-realty-corporation,,bsf realty corporation,,10001+,bsfrealtycorporation.com
9045,united states,,sodamco-sal,building materials,linkedin.com/company/sodamco-sal,lebanon,sodamco sal,pennsylvania,10001+,sodamco-weber.com
14583,united states,,martin-senour-automotive-finishes,chemicals,linkedin.com/company/martin-senour-automotive-finishes,warrensville heights,martin senour automotive finishes,ohio,10001+,martinsenour-autopaint.com
16269,united states,,keurig-commercial,food & beverages,linkedin.com/company/keurig-commercial,burlington,keurig commercial,massachusetts,10001+,keurig.com
16416,united states,2016.0,dwgholdings,investment management,linkedin.com/company/dwgholdings,chicago,dwg holdings,illinois,10001+,deltawebconsulting.com
17970,united states,1971.0,borders,retail,linkedin.com/company/borders,ann arbor,borders,michigan,10001+,borders.com
18566,united states,2013.0,global-specimen-solutions-inc-,research,linkedin.com/company/global-specimen-solutions-inc-,raleigh,global specimen solutions - a covance company,north carolina,10001+,globalspecimensolutions.com
19580,united states,1870.0,supervalu,supermarkets,linkedin.com/company/supervalu,eden prairie,supervalu,minnesota,10001+,supervalu.com
19838,united states,,p&g-pharmaceuticals,pharmaceuticals,linkedin.com/company/p&g-pharmaceuticals,,p&g pharmaceuticals,,10001+,pmicic.org
20272,united states,2003.0,mainstay-business-solutions,staffing and recruiting,linkedin.com/company/mainstay-business-solutions,folsom,mainstay business solutions,california,10001+,mainstaybusiness.com
20665,united states,2016.0,linxs2lax,transportation/trucking/railroad,linkedin.com/company/linxs2lax,los angeles,linxs (lax integrated express solutions),california,10001+,lalinxs.com
21738,united states,1988.0,firstcash,financial services,linkedin.com/company/firstcash,fort worth,"first cash financial services, inc.",texas,10001+,firstcash.com
23564,united states,,renaissance_hotels,hospitality,linkedin.com/company/renaissance_hotels,bethesda,renaissance hotels,maryland,10001+,renhotels.com
24161,united states,1989.0,pinnacle-surety,insurance,linkedin.com/company/pinnacle-surety,costa mesa,pinnacle surety,california,10001+,pinnaclesurety.com
24990,united states,1959.0,family-dollar,retail,linkedin.com/company/family-dollar,chesapeake,family dollar,virginia,10001+,familydollar.com
25377,united states,,dataflux,computer software,linkedin.com/company/dataflux,cary,dataflux,north carolina,10001+,dataflux.com
26775,united states,,bhgrealestate,real estate,linkedin.com/company/bhgrealestate,madison,better homes and gardens real estate,new jersey,10001+,bhgre.com
30583,united states,,harbor-footwear-ltd,wholesale,linkedin.com/company/harbor-footwear-ltd,port washington,"harbor footwear, ltd.",new york,10001+,harborfootwear.com
30794,united states,1997.0,field-solutions-inc-,marketing and advertising,linkedin.com/company/field-solutions-inc-,lake forest,"field solutions, inc.",illinois,10001+,fieldsolutionsinc.net
32427,united states,,missouri-national-guard-1,military,linkedin.com/company/missouri-national-guard-1,jefferson city,missouri national guard,missouri,10001+,moguard.com
32992,united states,,fox-5-wnyw-tv-new-york-,media production,linkedin.com/company/fox-5-wnyw-tv-new-york-,new york,fox 5 (wnyw-tv new york),new york,10001+,myfoxny.com
34475,united states,1978.0,colliers-international-development-services,construction,linkedin.com/company/colliers-international-development-services,coral gables,colliers international - southeast development services,florida,10001+,colliersdevelopmentservices.com
34790,united states,2020.0,shareverified,information services,linkedin.com/company/shareverified,new york,shareverified,new york,10001+,shareverified.com
35513,united states,1892.0,ge,electrical/electronic manufacturing,linkedin.com/company/ge,boston,ge,massachusetts,10001+,ge.com
37379,united states,2001.0,blue-horizon-insurance-services,insurance,linkedin.com/company/blue-horizon-insurance-services,rolling meadows,blue horizon insurance services,illinois,10001+,bluehorizoninsurance.com
38050,united states,1943.0,teleflex,medical devices,linkedin.com/company/teleflex,wayne,teleflex incorporated,pennsylvania,10001+,teleflex.com
39657,united states,1999.0,drupal-project,internet,linkedin.com/company/drupal-project,portland,drupal project,oregon,10001+,drupal.org
40204,united states,1915.0,riverside-health-system,hospital & health care,linkedin.com/company/riverside-health-system,newport news,riverside health system,virginia,10001+,riversideonline.com
42271,united states,1949.0,the-good-samaritan-society,hospital & health care,linkedin.com/company/the-good-samaritan-society,sioux falls,good samaritan society,south dakota,10001+,gss.org
43795,united states,,inspursystems,information technology and services,linkedin.com/company/inspursystems,milpitas,inspur systems,california,10001+,inspursystems.com
46253,united states,2015.0,drivindealer,automotive,linkedin.com/company/drivindealer,chicago,drivin powered by kar,illinois,10001+,drivindealer.com
47749,united states,1980.0,blackunitedfront,non-profit organization management,linkedin.com/company/blackunitedfront,washington,national black united front,district of columbia,10001+,nationalblackunitedfront.net
49523,united states,1988.0,club-demonstration-services,primary/secondary education,linkedin.com/company/club-demonstration-services,san diego,club demonstration services,california,10001+,clubdemo.com
51387,united states,1981.0,lambdaphiepsilon,non-profit organization management,linkedin.com/company/lambdaphiepsilon,philadelphia,lambda phi epsilon,pennsylvania,10001+,lambdaphiepsilon.com
55064,united states,1860.0,shaw's-supermarkets,supermarkets,linkedin.com/company/shaw's-supermarkets,,shaw's supermarkets,,10001+,shaws.com
55241,united states,1998.0,curlie-directory,internet,linkedin.com/company/curlie-directory,richmond,curlie.org,texas,10001+,curlie.org
55439,united states,1976.0,ticketmaster,entertainment,linkedin.com/company/ticketmaster,los angeles,ticketmaster,california,10001+,ticketmaster.com
55507,united states,1985.0,community-health-systems,hospital & health care,linkedin.com/company/community-health-systems,franklin,community health systems,tennessee,10001+,chs.net
56789,united states,1975.0,taylorcorporation,printing,linkedin.com/company/taylorcorporation,north mankato,taylor corporation,minnesota,10001+,taylorcorp.com
57466,united states,1933.0,tva,utilities,linkedin.com/company/tva,knoxville,tennessee valley authority,tennessee,10001+,tva.gov
62639,united states,,carryland-co,apparel & fashion,linkedin.com/company/carryland-co,city of industry,carryland co.,california,10001+,carryland.com
63908,united states,2014.0,walgreens-boots-alliance,pharmaceuticals,linkedin.com/company/walgreens-boots-alliance,deerfield,walgreens boots alliance,illinois,10001+,walgreensbootsalliance.com
64777,united states,2002.0,american-environmental-group-ltd-,construction,linkedin.com/company/american-environmental-group-ltd-,richfield,american environmental group ltd.,ohio,10001+,aegl.net
65570,united states,2012.0,gps-hospitality,restaurants,linkedin.com/company/gps-hospitality,atlanta,gps hospitality,georgia,10001+,gpshospitality.com
68783,united states,1970.0,hotsy-corp,machinery,linkedin.com/company/hotsy-corp,camas,hotsy cleaning systems,washington,10001+,hotsy.com
69035,united states,1955.0,aflac,insurance,linkedin.com/company/aflac,columbus,aflac,georgia,10001+,aflac.com
69100,united states,1938.0,kennametal,machinery,linkedin.com/company/kennametal,latrobe,kennametal,pennsylvania,10001+,kennametal.com
71032,united states,1979.0,bradsworth-international-inc-,management consulting,linkedin.com/company/bradsworth-international-inc-,santa clara,"bradsworth digital solutions, inc",california,10001+,bradsworth.com
72894,united states,,the-pillsbury-company,consumer goods,linkedin.com/company/the-pillsbury-company,,the pillsbury company,,10001+,isis.org
73734,united states,1988.0,outback-steakhouse,restaurants,linkedin.com/company/outback-steakhouse,tampa,outback steakhouse,florida,10001+,outback.com
75904,united states,1935.0,arrow-electronics,information technology and services,linkedin.com/company/arrow-electronics,centennial,arrow electronics,colorado,10001+,arrow.com
77168,united states,1988.0,vikingtechnology,computer hardware,linkedin.com/company/vikingtechnology,costa mesa,"viking technology, division of sanmina-sci",california,10001+,vikingtechnology.com
78804,united states,,fidelitynationalagencysolutions,real estate,linkedin.com/company/fidelitynationalagencysolutions,plano,fidelity national agency solutions,texas,10001+,fnas.com
81008,united states,1775.0,goarmy,military,linkedin.com/company/goarmy,arlington,goarmy,virginia,10001+,goarmy.co.uk
81526,united states,,optum,hospital & health care,linkedin.com/company/optum,eden prairie,optum,minnesota,10001+,optum.com
82179,united states,1935.0,newburgh-enlarged-city-school-district,education management,linkedin.com/company/newburgh-enlarged-city-school-district,newburgh,newburgh enlarged city school district,new york,10001+,newburghschools.org
84022,united states,2001.0,knowledge-management-professional-society-kmpro-,information technology and services,linkedin.com/company/knowledge-management-professional-society-kmpro-,,knowledge management professional society (kmpro),,10001+,kmpro.org
84135,united states,1980.0,unison-inc.,insurance,linkedin.com/company/unison-inc.,rolling meadows,"unison, inc.",illinois,10001+,unisoninc.com
85274,united states,,manufacturers-hanover-trust,banking,linkedin.com/company/manufacturers-hanover-trust,,manufacturers hanover trust,,10001+,business-switch.co.uk
88904,united states,,cornerstone-brands,retail,linkedin.com/company/cornerstone-brands,west chester,cornerstone brands inc.,ohio,10001+,hsni.com
89558,united states,1897.0,gordon-food-service,food & beverages,linkedin.com/company/gordon-food-service,grand rapids,gordon food service,michigan,10001+,gfs.com
89567,united states,1980.0,syntel,information technology and services,linkedin.com/company/syntel,troy,syntel,michigan,10001+,syntelinc.com
92081,united states,1986.0,movie-gallery,retail,linkedin.com/company/movie-gallery,wilsonville,movie gallery,oregon,10001+,moviegallery.com
96395,united states,1952.0,general-dynamics,defense & space,linkedin.com/company/general-dynamics,reston,general dynamics,virginia,10001+,gd.com
