index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,glassdoor_url,glassdoor_reviews,total_reviews,correct,scores,valid_urls,linkedin_bool
94848,mackillop family services,non-profit organization management,victoria,1001-5000,1997.0,linkedin.com/company/mackillop-family-services,https://au.indeed.com/cmp/Mackillop-Family-Services/reviews,20,https://www.seek.com.au/companies/mackillop-family-services-434408/reviews,51,https://www.glassdoor.com.au/Reviews/MacKillop-Family-Services-Reviews-E3822445.htm,0,71,Unknown,"[[0.85, 0, 0, 0, 0, 0, 0], [0.86, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Mackillop-Family-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/mackillop-family-services-434408/reviews'], 'glassdoor': []}",2
95187,peregrine corporation,retail,south australia,1001-5000,1984.0,linkedin.com/company/peregrine-corporation,https://au.indeed.com/cmp/Peregrine-Corporation/reviews,54,https://www.seek.com.au/companies/peregrine-corporation-432966/reviews,69,https://www.glassdoor.com.au/Reviews/Peregrine-Corporation-Reviews-E655060.htm,0,123,Unknown,"[[0.89, 0, 0.74, 0, 0, 0, 0], [0.86, 0, 0.36, 0, 0, 0, 0], [0.89, 0.84, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Peregrine-Corporation/reviews', 'https://au.indeed.com/cmp/Otr-Peregrine-Corporation/reviews'], 'seek': ['https://www.seek.com.au/companies/peregrine-corporation-432966/reviews', 'https://www.seek.com.au/companies/company-432966/reviews'], 'glassdoor': []}",2
105547,the wesley hospital,hospital & health care,,1001-5000,1896.0,linkedin.com/company/the-wesley-hospital,,0,https://www.seek.com.au/companies/the-wesley-hospital-434747/reviews,18,,0,18,Unknown,"[[0, 0, 0, 0, 0], [0.82, 0, 0, 0, 0, 0, 0], [0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/the-wesley-hospital-434747/reviews'], 'glassdoor': []}",2
106087,winslow constructors pty ltd,civil engineering,,1001-5000,1985.0,linkedin.com/company/winslow-constructors-pty-ltd,https://au.indeed.com/cmp/Winslow-Constructors-1/reviews,28,https://www.seek.com.au/companies/winslow-constructors-436313/reviews,51,https://www.glassdoor.com.au/Reviews/Winslow-Constructors-Reviews-E1317892.htm,0,79,Unknown,"[[0.76, 0, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0, 0], [0.78, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Winslow-Constructors-1/reviews'], 'seek': ['https://www.seek.com.au/companies/winslow-constructors-436313/reviews'], 'glassdoor': []}",2
109013,n/a n/a n/a,financial services,,1001-5000,2009.0,linkedin.com/company/eftpos-australia,,0,,0,,0,0,Unknown,"[[0.25, 0.29, 0, 0.1, 0, 0, 0], [0, 0.2, 0.2, 0.16, 0, 0.05, 0.0], [0, 0.34, 0.15, 0.26, 0.17, 0.0, 0.02]]","{'indeed': ['https://au.indeed.com/cmp/Best-&-Less/reviews', 'https://au.indeed.com/cmp/A.i.n/reviews', 'https://au.indeed.com/cmp/Myer/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/best-n-less-432407/reviews', 'https://www.seek.com.au/companies/easy2c-831085/reviews', 'https://www.seek.com.au/companies/sites-n-stores-813443/reviews'], 'glassdoor': []}",2
110745,cdl australia,real estate,new south wales,10001+,1963.0,linkedin.com/company/cdl-australia,https://au.indeed.com/cmp/Australia-Post/reviews,977,https://www.seek.com.au/companies/services-australia-432354/reviews,117,,0,1094,Unknown,"[[0, 0.28, 0, 0, 0, 0.44, 0.18], [0.34, 0.26, 0.54, 0, 0.42, 0, 0], [0.37, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Indeed/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews', 'https://au.indeed.com/cmp/Australian-Government-Services-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/golden-circle-433858/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/services-australia-432354/reviews', 'https://www.seek.com.au/companies/volvo-group-australia-434366/reviews'], 'glassdoor': []}",2
120538,netapp australia & new zealand,computer software,,10001+,1992.0,linkedin.com/company/netappanz,,0,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': [], 'glassdoor': []}",2
121001,idp education ltd,education management,victoria,1001-5000,1969.0,linkedin.com/company/idp-education-pty-ltd,https://au.indeed.com/cmp/Idp-Education-Ltd/reviews,3,https://www.seek.com.au/companies/idp-education-806514/reviews,19,https://www.glassdoor.com.au/Reviews/IDP-Education-Reviews-E508427.htm,0,22,Unknown,"[[0.78, 0, 0, 0, 0, 0, 0], [0.74, 0, 0, 0, 0, 0, 0], [0.65, 0.6, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Idp-Education-Ltd/reviews'], 'seek': ['https://www.seek.com.au/companies/idp-education-806514/reviews'], 'glassdoor': []}",2
129777,lj hooker,real estate,new south wales,5001-10000,1928.0,linkedin.com/company/lj-hooker,https://au.indeed.com/cmp/Lj-Hooker/reviews,117,https://www.seek.com.au/companies/lj-hooker-network-432587/reviews,140,https://www.glassdoor.com.au/Reviews/LJ-Hooker-Real-Estate-Reviews-E504770.htm,0,257,Unknown,"[[0.75, 0, 0, 0, 0, 0, 0], [0.61, 0, 0], [0.67, 0.62, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Lj-Hooker/reviews'], 'seek': ['https://www.seek.com.au/companies/lj-hooker-network-432587/reviews'], 'glassdoor': []}",2
132564,metcash,wholesale,,5001-10000,1927.0,linkedin.com/company/metcash,https://au.indeed.com/cmp/Metcash/reviews,94,https://www.seek.com.au/companies/metcash-432666/reviews,173,https://www.glassdoor.com.au/Reviews/Metcash-Reviews-E7925.htm,0,267,Unknown,"[[0.89, 0, 0, 0, 0, 0, 0], [0.75, 0, 0, 0, 0, 0, 0], [0.89, 0.84, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Metcash/reviews'], 'seek': ['https://www.seek.com.au/companies/metcash-432666/reviews'], 'glassdoor': []}",2
