name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
nsw secondary deputy principals association,education management,new south wales,501-1000,,linkedin.com/company/nsw-secondary-deputy-principals-association,https://au.indeed.com/cmp/Nsw-Department-of-Education/reviews,102,https://www.seek.com.au/companies/nsw-department-of-education-437279/reviews,136,238,Unknown,"[[0.51, 0, 0, 0, 0, 0], [0, 0.47, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Nsw-Department-of-Education/reviews'], 'seek': ['https://www.seek.com.au/companies/nsw-department-of-education-437279/reviews']}"
jobfit health group,medical practice,,501-1000,1996.0,linkedin.com/company/jobfit-health-group,https://au.indeed.com/cmp/Jobfit-Health-Group/reviews,2,,0,2,Unknown,"[[0.8, 0.6, 0, 0.31, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Jobfit-Health-Group/reviews', 'https://au.indeed.com/cmp/Jobfit-Health-Services/reviews', 'https://au.indeed.com/cmp/Queensland-Health/reviews'], 'seek': []}"
visa global logistics,logistics and supply chain,,501-1000,1982.0,linkedin.com/company/visagloballogistics,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0.4, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/mondiale-vgl-806623/reviews']}"
zoos victoria,non-profit organization management,victoria,501-1000,,linkedin.com/company/zoos-victoria,https://au.indeed.com/cmp/Zoos-Victoria/reviews,5,https://www.seek.com.au/companies/zoos-victoria-436620/reviews,19,24,Unknown,"[[0.83, 0.47, 0.27, 0, 0.13, 0], [0.8, 0, 0.29, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Zoos-Victoria/reviews', 'https://au.indeed.com/cmp/Australia-Zoo-1/reviews', 'https://au.indeed.com/cmp/Melbourne-Zoo/reviews', 'https://au.indeed.com/cmp/Big-W/reviews'], 'seek': ['https://www.seek.com.au/companies/zoos-victoria-436620/reviews', 'https://www.seek.com.au/companies/australia-zoo-433717/reviews']}"
cochlear,medical devices,,1001-5000,1982.0,linkedin.com/company/cochlear,https://au.indeed.com/cmp/Cochlear/reviews,8,,0,8,Unknown,"[[0.77, 0.86, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Cochlear-Ltd/reviews', 'https://au.indeed.com/cmp/Cochlear/reviews'], 'seek': []}"
amana living,hospital & health care,,1001-5000,1962.0,linkedin.com/company/amana-living,https://au.indeed.com/cmp/Amana-Living/reviews,40,https://www.seek.com.au/companies/amana-living-433566/reviews,66,106,Unknown,"[[0, 0.76, 0, 0, 0, 0], [0.78, 0, 0.2, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Amana-Living/reviews'], 'seek': ['https://www.seek.com.au/companies/amana-living-433566/reviews', 'https://www.seek.com.au/companies/blue-care-432544/reviews']}"
churches of christ in queensland,non-profit organization management,,501-1000,1883.0,linkedin.com/company/churches-of-christ-care,https://au.indeed.com/cmp/Churches-of-Christ-1/reviews,62,https://www.seek.com.au/companies/churches-of-christ-in-queensland-434084/reviews,86,148,Unknown,"[[0.65, 0.62, 0, 0, 0, 0], [0.84, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Churches-of-Christ-1/reviews', 'https://au.indeed.com/cmp/Churches-of-Christ/reviews'], 'seek': ['https://www.seek.com.au/companies/churches-of-christ-in-queensland-434084/reviews']}"
fantastic furniture,retail,,1001-5000,1979.0,linkedin.com/company/fantastic-furniture,https://au.indeed.com/cmp/Fantastic-Furniture/reviews,96,https://www.seek.com.au/companies/fantastic-furniture-432775/reviews,107,203,Unknown,"[[0.88, 0, 0, 0, 0, 0], [0.85, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Fantastic-Furniture/reviews'], 'seek': ['https://www.seek.com.au/companies/fantastic-furniture-432775/reviews']}"
ixom,chemicals,,1001-5000,,linkedin.com/company/ixom,https://au.indeed.com/cmp/Ixom/reviews,2,,0,2,Unknown,"[[0.81, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Ixom/reviews'], 'seek': []}"
detmold packaging,packaging and containers,,1001-5000,1948.0,linkedin.com/company/detmold-packaging,https://au.indeed.com/cmp/Detmold-Packaging/reviews,7,https://www.seek.com.au/companies/detmold-packaging-434890/reviews,20,27,Unknown,"[[0.87, 0, 0, 0, 0, 0], [0, 0, 0, 0.69, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Detmold-Packaging/reviews'], 'seek': ['https://www.seek.com.au/companies/detmold-packaging-434890/reviews']}"
tebter property,real estate,,501-1000,,linkedin.com/company/tebter-property,https://au.indeed.com/cmp/Right-Property-Group/reviews,2,,0,2,Unknown,"[[0.34, 0.37, 0.49, 0.34, 0, 0.07], [0.4, 0.27, 0.23, 0.34, 0.19, 0.13]]","{'indeed': ['https://au.indeed.com/cmp/Harris-Real-Estate-1/reviews', 'https://au.indeed.com/cmp/Ray-White-Real-Estate/reviews', 'https://au.indeed.com/cmp/Right-Property-Group/reviews', 'https://au.indeed.com/cmp/Cbre/reviews', 'https://au.indeed.com/cmp/Goodman/reviews'], 'seek': ['https://www.seek.com.au/companies/place-estate-agents-753018/reviews', 'https://www.seek.com.au/companies/response-real-estate-437606/reviews', 'https://www.seek.com.au/companies/little-real-estate-609492/reviews', 'https://www.seek.com.au/companies/property-council-of-australia-798709/reviews', 'https://www.seek.com.au/companies/blackburne-813843/reviews', 'https://www.seek.com.au/companies/landpartners-834436/reviews']}"
shire of campaspe,writing and editing,victoria,501-1000,1994.0,linkedin.com/company/shire-of-campaspe,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': []}"
powerlink queensland,utilities,queensland,501-1000,,linkedin.com/company/powerlink-queensland,https://au.indeed.com/cmp/Powerlink-Queensland/reviews,3,https://www.seek.com.au/companies/powerlink-434186/reviews,43,46,Unknown,"[[0, 0.84, 0.6, 0.51, 0, 0], [0.62, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Powerlink-Queensland/reviews', 'https://au.indeed.com/cmp/Powerlink-Qld/reviews', 'https://au.indeed.com/cmp/Powerlink/reviews'], 'seek': ['https://www.seek.com.au/companies/powerlink-434186/reviews']}"
